"># Books"




">## The 2/24 Australian Infantry Battaion"



"Serle, R.P.","2/24 - A history of the 2/24 Australian Battalion","2/24 Australian Battalion association",1986
"Baillieu, Everard","Both sides of the Hill","2/24 Battalion Association",1987


">## 1941-1942 The Western Desert"


"Austin, Louise","Journey to Tobruk: John Murray - bushman, soldier, survivor","Pier 9",2009
"Badman, P.","North Africa 1940-1942 The Desert War","Time-Life, Sydney",1989
"Barber, Jack","The War, the Whores and the Afrika Korps","Kangaroo Press, Roseville",1997
"Barnett, C.","The Desert Generals","Viking Press, New York", 1961
"Clune, Frank","From Tobruk to Turkey","A & R",1945
"Cochrane, P.","Tobruk 1941","ABC Books",2005
"Collier, R.","World War II War in the Desert","Time-Life",2004
"Devine, John","The Rats of Tobruk","A &R, Sydney",1943
"Fearnside, G.H.","Soujourn in Tobruk","Ure Smith, Sydney",1944
"Forty, G.","The Desert War","Sutton Publlishing, Stroud",2002
"Glassop, L.","We Were the Rats","Currey O'Neill, South Yarra",1982
"Goldman, R.","A Hospital at War","Boolarong Publications, Brisabane",1983
"Goldman, R.","I was a Rat - Tobruk 1941","CopyRight Publishing, Brisbane",2004
"Hall, T.","Tobruk 1941 The Desert Siege","Methuen, North Ryde",1984
"Harrison, F.","Tobruk - The Great Siege Reassessed","Brockhampton Press, London",1999
"Heckstall-Smith, A.","Tobruk The Story of a Siege","Anthony Blond",1959
"Hill, R.","Desert Conquest","Jarrod's Publishers, London",1943
"Jarrott, Aubrey","Two Wars and a Family","(privately publsihed) Myrtleford",1997
"Johnston, M.","That Magnificent 9th","Allen & Unwin, Crows Nest",2002
"Latimer, J.","Tobruk 1941 Rommel's Opening Move","Osprey Military",2001
"Long, G.","To Benghazi","Australian War Memorial, Canberra",1952
"Lyman, Robert","The Longest Siege Tobruk","Macmillan, Sydney",2009
"Maughan, B.","Tobruk and El Alamein","Australian War Memorial, Canberra",1966
"Moorehead, Alan","Mediterranean Front","George Jaboor, Melbourne",1941
"Monteath, Peter","P.O.W.","Macmillan, Sydney",2011
"Murray, John J.","I Confess - A Memoir of the Siege of Tobruk","Bug Sly Publlishing",2011
"Pitt. Barrie","The Crucible of War: Western Desert 1941","Jonathan Cape, London",1980
"Pitt. Barrie","The Crucible of War: Year of Alamein 1942","Paragon House, New York",1990
"Sadler, John","El Alamein","Amberley Publishing",2010
"Wahlert, Glenn","The Western Desert Campaign 1940-41","Austrlian Army Campaign Series - 2, Army History Unit, Canmbewrra",2006
"Salter, J.C. (Chaplain)","A Padre with the Rats of Tobruk","Walch & Sons, Hobart",1946
"Wilmot, Chester","Tobruk","A & R Sydney",1945



">## The Pacific - New Guinea and Tarakan"

"Charlton, Peter","The Unnecessary War - Island Campaigns of the South-West Pacific 1944-45","Macmillan, 1983
"Keogh, E.G.","South West Pacific 1941-45","Gratflower Productions",1965
"Threfall, Adrian","Jungle Warriors","Allen & Unwin",2014


